lesson_kind;abbreviation;topic;date_plan;comments
LB;ЛБ1;ЛБ1 Расчет верхнего строения пути на прочность;06.02.2020;
LB;ЛБ2;ЛБ1 Расчет верхнего строения пути на прочность;13.02.2020;
LB;ЛБ3;ЛБ2 Расчет устойчивости земляного полотна методом Г.М. Шахунянца;20.02.2020;
LB;ЛБ4;ЛБ2 Расчет устойчивости земляного полотна методом Г.М. Шахунянца;27.02.2020;
LB;ЛБ5;РГР1 Построение расчетной схемы насыпи;05.03.2020;
LB;ЛБ6;РГР1 Расчет напряженно-деформированного состояния железнодорожной насыпи методом конечных элементов;12.03.2020;
LB;ЛБ7;РГР1 Расчет напряженно-деформированного состояния насыпи методом конечных элементов при изменении геометрии расчетной области;19.03.2020;
LB;ЛБ8;РГР1 Расчет устойчивости железнодорожной насыпи методом конечных элементов;26.03.2020;
LB;ЛБ9;РГР1 Расчет устойчивости железнодорожной насыпи методом конечных элементов;02.04.2020;
LB;ЛБ10;РГР1 Расчет устойчивости железнодорожной насыпи с учетом бермы;09.04.2020;
LB;ЛБ11;РГР1 Расчеты железнодорожной насыпи с учетом армирующей прослойки;16.04.2020;
LB;ЛБ12;РГР1 Расчеты железнодорожной насыпи с учетом армирующей прослойки;23.04.2020;
LB;ЛБ13;ЛБ3 Поиск подземных коммуникаций методом георадиолокации;30.04.2020;
LB;ЛБ14;ЛБ3 Поиск подземных коммуникаций методом георадиолокации;07.05.2020;
LB;ЛБ15;ЛБ4 Определение границ раздела сред методом георадиолокации;14.05.2020;
LB;ЛБ16;ЛБ4 Определение границ раздела сред методом георадиолокации;21.05.2020;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
