task_kind;abbreviation;topic;deadline;task_coef;comments
PR;ПР1;HTML;29.02.2020;10;
PR;ПР2;git;14.03.2020;10;
PR;ПР3;Основы CSS;28.03.2020;10;
PR;ПР4;Адаптивная верстка;11.04.2020;10;
PR;ПР5;Bootstrap;25.04.2020;10;
PR;ПР6;Графика для Web;09.05.2020;10;
PR;ПР7;Wordpress;23.05.2020;10;
RGR;РГР1;РГР1. ТЗ, прототип;25.04.2020;20;
RGR;РГР2;РГР2. Верстка сайта;23.05.2020;20;
TEST;Тест;Тест;01.06.2020;0;
ZACHET;ЗАЧЕТ;Зачет;01.06.2020;0;
